"No.","Tên Xã","Chú thích về Xã","No.","Tên Quận/Huyện","Chú thích về Quận/Huyện","No.","Tên Tĩnh","Chú thích về Tĩnh","Tạo từ","Lần cuối chỉnh sửa","Lần cuối xóa"
"","Xã 1","Chú thích về Xã 1","","Huyện 590","Chú thích về Huyện 590","","Tỉnh 41","Chú thích về Tỉnh 41","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 2","Chú thích về Xã 2","","Huyện 193","Chú thích về Huyện 193","","Tỉnh 48","Chú thích về Tỉnh 48","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 3","Chú thích về Xã 3","","Huyện 809","Chú thích về Huyện 809","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 4","Chú thích về Xã 4","","Huyện 72","Chú thích về Huyện 72","","Tỉnh 2","Chú thích về Tỉnh 2","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 5","Chú thích về Xã 5","","Huyện 948","Chú thích về Huyện 948","","Tỉnh 34","Chú thích về Tỉnh 34","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 6","Chú thích về Xã 6","","Huyện 737","Chú thích về Huyện 737","","Tỉnh 50","Chú thích về Tỉnh 50","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 7","Chú thích về Xã 7","","Huyện 257","Chú thích về Huyện 257","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 8","Chú thích về Xã 8","","Huyện 393","Chú thích về Huyện 393","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 9","Chú thích về Xã 9","","Huyện 40","Chú thích về Huyện 40","","Tỉnh 24","Chú thích về Tỉnh 24","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 10","Chú thích về Xã 10","","Huyện 582","Chú thích về Huyện 582","","Tỉnh 29","Chú thích về Tỉnh 29","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 11","Chú thích về Xã 11","","Huyện 152","Chú thích về Huyện 152","","Tỉnh 43","Chú thích về Tỉnh 43","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 12","Chú thích về Xã 12","","Huyện 539","Chú thích về Huyện 539","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 13","Chú thích về Xã 13","","Huyện 481","Chú thích về Huyện 481","","Tỉnh 46","Chú thích về Tỉnh 46","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 14","Chú thích về Xã 14","","Huyện 282","Chú thích về Huyện 282","","Tỉnh 18","Chú thích về Tỉnh 18","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 15","Chú thích về Xã 15","","Huyện 324","Chú thích về Huyện 324","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 16","Chú thích về Xã 16","","Huyện 928","Chú thích về Huyện 928","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 17","Chú thích về Xã 17","","Huyện 122","Chú thích về Huyện 122","","Tỉnh 57","Chú thích về Tỉnh 57","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 18","Chú thích về Xã 18","","Huyện 148","Chú thích về Huyện 148","","Tỉnh 42","Chú thích về Tỉnh 42","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 19","Chú thích về Xã 19","","Huyện 466","Chú thích về Huyện 466","","Tỉnh 13","Chú thích về Tỉnh 13","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 20","Chú thích về Xã 20","","Huyện 265","Chú thích về Huyện 265","","Tỉnh 62","Chú thích về Tỉnh 62","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 21","Chú thích về Xã 21","","Huyện 367","Chú thích về Huyện 367","","Tỉnh 10","Chú thích về Tỉnh 10","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 22","Chú thích về Xã 22","","Huyện 163","Chú thích về Huyện 163","","Tỉnh 17","Chú thích về Tỉnh 17","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 23","Chú thích về Xã 23","","Huyện 837","Chú thích về Huyện 837","","Tỉnh 44","Chú thích về Tỉnh 44","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 24","Chú thích về Xã 24","","Huyện 316","Chú thích về Huyện 316","","Tỉnh 3","Chú thích về Tỉnh 3","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 25","Chú thích về Xã 25","","Huyện 361","Chú thích về Huyện 361","","Tỉnh 61","Chú thích về Tỉnh 61","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 26","Chú thích về Xã 26","","Huyện 326","Chú thích về Huyện 326","","Tỉnh 59","Chú thích về Tỉnh 59","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 27","Chú thích về Xã 27","","Huyện 24","Chú thích về Huyện 24","","Tỉnh 41","Chú thích về Tỉnh 41","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 28","Chú thích về Xã 28","","Huyện 774","Chú thích về Huyện 774","","Tỉnh 52","Chú thích về Tỉnh 52","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 29","Chú thích về Xã 29","","Huyện 162","Chú thích về Huyện 162","","Tỉnh 5","Chú thích về Tỉnh 5","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 30","Chú thích về Xã 30","","Huyện 212","Chú thích về Huyện 212","","Tỉnh 40","Chú thích về Tỉnh 40","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 31","Chú thích về Xã 31","","Huyện 300","Chú thích về Huyện 300","","Tỉnh 53","Chú thích về Tỉnh 53","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 32","Chú thích về Xã 32","","Huyện 654","Chú thích về Huyện 654","","Tỉnh 11","Chú thích về Tỉnh 11","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 33","Chú thích về Xã 33","","Huyện 826","Chú thích về Huyện 826","","Tỉnh 33","Chú thích về Tỉnh 33","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 34","Chú thích về Xã 34","","Huyện 445","Chú thích về Huyện 445","","Tỉnh 16","Chú thích về Tỉnh 16","2020-08-25 18:45:28","2020-08-25 18:45:28",""
"","Xã 35","Chú thích về Xã 35","","Huyện 720","Chú thích về Huyện 720","","Tỉnh 14","Chú thích về Tỉnh 14","2020-08-25 18:45:28","2020-08-25 18:45:28",""
